"title","seasons","episodes","rating","year","genres","description","link","image"
"Requiem of the Rose King","4","49","80","2022","Action | Drama | Supernatural","The manga artist Aya Kanno (Otomen) brings us a new interpretation of Richard III, the play by Shakespeare, in which the hero is a hermaphrodite! From birth, Richard, heir to the prestigious York family throne, was a child rejected by all. But everything changes when his father becomes embroiled in a battle for the throne. From this war emerges a bloodthirsty tyrant who will leave an indelible mark the history of England...","https://www.wakanim.tv/sc/v2/catalogue/show/1696/requiem-of-the-rose-king","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2712_637762089700488948RRK_Small.jpg"
"RErideD – Derrida, who leaps through time –","1","12","0","2018","Action | Drama | Sci-Fi","When Derrida wakes up from a 10-year cold sleep, he’ll fight to survive a devastated world to keep a promise to his friend.","https://www.wakanim.tv/sc/v2/catalogue/show/1041/rerided-derrida-who-leaps-through-time","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/287_637315427029419304Redride-D_Small.jpg"
"Restaurant to Another World","1","12","68","2017","Comedy | Fantasy","The regulars here are anything but normal! Every Saturday, a bell rings and this restaurant opens its doors to some unusual guests.","https://www.wakanim.tv/sc/v2/catalogue/show/1042/restaurant-to-another-world","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/287_637315437158092937Restaurant-Another-World_Small.jpg"
"Riddle Story of Devil","2","24","80","2014","Action | Drama | Romance | Thriller","12 beautiful assassins. 1 innocent target. Tokaku Azuma was a sure bet to win—until she had a change of heart.","https://www.wakanim.tv/sc/v2/catalogue/show/709/riddle-story-of-devil","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262598516891223Riddle-Story_Small.jpg"
"RIN - Daughters of Mnemosyne","2","12","66","2008","Action | Drama | Ecchi | Horror | Josei | Original | Sci-Fi | Supernatural | Thriller | Yuri","Rin, an immortal private detective, struggles to unravel the secrets of her endless agony at the hands of a memory-eating monster.","https://www.wakanim.tv/sc/v2/catalogue/show/695/rin-daughters-of-mnemosyne","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/36_637267727639419586Rin_Small.jpg"
"RobiHachi","2","24","66","2019","Action | Original | Sci-Fi","G.C.0051.
500 years have passed since the first contact.
Humanity has acquired the technology enabling them to travel at the speed of light and has federated several planets and extra-terrestrial species.","https://www.wakanim.tv/sc/v2/catalogue/show/502/robihachi","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/64_636901578073735233RobiHachi_Small.png"
"RUMBLE GARANNDOLL","2","24","62","2021","Action | Adventure | Mecha | Sci-Fi","In 2019, an army from another world invades Japan. Ten years later, the country is a dictatorship, manga, anime and video games are forbidden. At least in appearance, because the otaku cultural resistance is on the march!","https://www.wakanim.tv/sc/v2/catalogue/show/1502/rumble-garanndoll","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637687635724748742RG_Small.jpg"
"SABIKUI BISCO","2","24","86","2022","Action | Adventure | Fantasy","Time for a Mad Max style shonen! A devastating rust wind has turned Japan into a desert where everyone struggles to survive.","https://www.wakanim.tv/sc/v2/catalogue/show/1634/sabikui-bisco","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765621934210789SB_Small.jpg"
"SAIYUKI RELOAD BLAST","1","12","100","2017","Action | Adventure | Comedy | Drama | Josei | Supernatural","The boys of SAIYUKI are back! Finally arriving in India, the Sanzo party must prepare for their toughest battles yet.","https://www.wakanim.tv/sc/v2/catalogue/show/1044/saiyuki-reload-blast","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316156944199566Saiyuki-Reload-Blast_Small.jpg"
"Sakura Wars the Animation","2","24","80","2020","Action | Adventure | Sci-Fi","1941, the imperial capital of Tokyo is now peaceful again. When Kamiyama Seijuro, the leader of the Flower Division of the Imperial Combat Revue is transferred to Europe, Sakura Amamiya is promoted co-leader.","https://www.wakanim.tv/sc/v2/catalogue/show/872/sakura-wars-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/14_637213554660920961NSW_Small.jpg"
"Sasaki and Miyano","1","24","90","2022","Slice of Life | Yaoi","Time for romance with this new boy's love from Studio DEEN (Junjou Romantica, Vampire Knight, Fate/stay night)!","https://www.wakanim.tv/sc/v2/catalogue/show/1678/sasaki-and-miyano","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765599254980318SM_Small.jpg"
"Scar on the Praeter","2","26","48","2021","Action | Sci-Fi | Supernatural","For these divine warriors, enforcing law has never been so turbulent! An original creation of GoHands and Frontier Works studios.","https://www.wakanim.tv/sc/v2/catalogue/show/1163/scar-on-the-praeter","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637452818686817773Scar-OTP_Small.jpg"
